run_id,cf,cf_length,problem_rows,problem_cols,problem_elements,presolve_rows,presolve_cols,lp_relaxation,root_after_cuts,root_passes,best_objective,lower_bound,gap,nodes,iterations,wallclock_sec,status,strong_branching_count,max_depth,vars_fixed_reduced_cost,probing_cuts,gomory_cuts,knapsack_cuts,clique_cuts,mir_cuts,flowcover_cuts,twomir_cuts,zerohalf_cuts,implication_cuts,dissonant_upbeats,total_upbeats,conjunct_motions,total_motions,contrary_motions,total_moving,turns,total_turn_positions,climax_pitch,climax_subbeat
1,[0;-5;-7;-8;-7;-10;-5;-8;-10;-12],10,753,593,3123,296,214,-14.0,-12.955529,100,-11.0,-11.0,0.0,104,11986,1.59,Optimal,1342,21,681,497,1250,118,1,190,5,342,1,70,,,7,9,8,9,2,8,12,9
2,[0;2;4;2;5;7;5;4;2;0],10,751,593,3119,267,193,-13.8,-9.9244687,100,-8.0,-8.0,0.0,67,9812,2.14,Optimal,1104,16,760,1471,1332,118,1,42,7,493,276,91,,,7,9,6,9,3,8,14,3
3,[0;4;5;7;4;5;2;0],8,575,469,2375,181,132,-9.90741,-8.365444,100,-6.0,-6.0,0.0,40,6921,1.35,Optimal,644,17,244,508,931,5,0,11,2,202,125,68,,,5,7,6,7,3,6,16,4
4,[0;2;0;4;5;4;2;0],8,575,469,2375,190,143,-10.0,-7.0,100,-6.0,-6.0,0.0,58,7203,1.53,Optimal,908,13,470,761,1484,98,1,133,33,347,161,84,,,6,7,5,7,3,6,17,2
5,[0;7;9;7;5;4;2;0],8,576,469,2377,166,110,-10.8333,-6.5103478,100,-5.0,-5.0,0.0,20,4179,0.56,Optimal,382,6,141,248,1402,35,0,48,24,201,1,10,,,5,7,5,7,3,6,19,5
6,[0;2;5;4;7;5;4;2;0],9,663,531,2747,224,163,-12.0,-8.780097,100,-7.0,-7.0,0.0,59,7266,1.63,Optimal,1056,10,503,882,801,6,0,20,17,403,179,112,,,6,8,6,8,3,7,19,6
7,[0;4;2;5;7;9;7;5;2;0],10,751,593,3119,247,178,-13.6111,-10.838063,100,-9.0,-9.0,0.0,64,7654,1.79,Optimal,870,17,403,779,1535,111,0,13,21,391,290,85,,,7,9,7,9,3,8,19,2
8,[0;2;4;7;9;7;5;4;2;0],10,751,593,3119,253,186,-14.6111,-9.710172,100,-7.0,-7.0,0.0,86,11525,1.52,Optimal,1232,18,1023,1706,1997,92,0,59,10,424,1,88,,,6,9,7,9,4,8,19,7
9,[0;5;7;9;7;4;5;2;0],9,664,531,2749,199,134,-11.7222,-8.5005107,100,-8.0,-8.0,0.0,7,4704,1.01,Optimal,270,5,55,312,1806,84,0,27,13,394,116,23,,,7,8,5,8,2,7,16,5
10,[0;2;4;5;9;7;5;4;2;0],10,751,593,3119,251,188,-14.6111,-10.254995,100,-7.0,-7.0,0.0,120,12416,2.91,Optimal,1694,20,1236,2238,976,122,0,41,15,252,316,135,,,,,,,,,,
