run_id,cf,cf_length,problem_rows,problem_cols,problem_elements,presolve_rows,presolve_cols,lp_relaxation,root_after_cuts,root_passes,best_objective,lower_bound,gap,nodes,iterations,wallclock_sec,status,strong_branching_count,max_depth,vars_fixed_reduced_cost,probing_cuts,gomory_cuts,knapsack_cuts,clique_cuts,mir_cuts,flowcover_cuts,twomir_cuts,zerohalf_cuts,implication_cuts,conjunct_motions,total_motions,contrary_motions,total_moving,turns,total_turn_positions,climax_pitch,climax_bar
1,[0;-5;-7;-8;-7;-10;-5;-8;-10;-12],10,695,543,2919,159,112,-14.0,-6.2060473,30,-3.0,,,8,1656,0.3,Optimal,188,3,0,290,423,16,0,4,2,540,1,30,5,9,6,9,6,8,16,1
2,[0;2;4;2;5;7;5;4;2;0],10,693,543,2915,191,154,-14.0,-9.1971377,100,-4.0,,,54,9157,1.03,Optimal,906,13,246,1071,1325,98,0,42,15,302,0,268,6,9,5,9,5,8,14,6
3,[0;4;5;7;4;5;2;0],8,529,429,2213,133,97,-10.0,-5.5728516,100,-3.0,,,12,3930,0.5,Optimal,314,4,10,627,1125,54,0,4,44,278,0,150,4,7,5,7,4,6,14,2
4,[0;2;0;4;5;4;2;0],8,529,429,2213,149,117,-10.0,-5.8732922,100,-3.0,,,22,3801,0.53,Optimal,488,5,90,532,859,99,0,39,29,218,0,117,4,7,4,7,3,6,14,4
5,[0;7;9;7;5;4;2;0],8,530,429,2215,109,82,-11.0,-4.3375213,100,-3.0,,,10,2710,0.31,Optimal,212,4,12,335,1218,42,0,11,28,204,0,25,4,7,4,7,3,6,16,3
6,[0;2;5;4;7;5;4;2;0],9,611,486,2564,163,130,-12.0,-8.3839335,100,-5.0,,,50,6391,0.77,Optimal,732,16,150,869,1481,54,0,4,34,297,0,153,6,8,6,8,5,7,14,5
7,[0;4;2;5;7;9;7;5;2;0],10,693,543,2915,150,116,-14.0,-7.2239702,100,-4.0,,,22,4088,0.58,Optimal,556,6,40,539,971,34,0,8,6,235,0,56,5,9,6,9,5,8,16,6
8,,,693,543,2915,176,138,-15.0,-7.4844722,100,,,,28,5554,0.76,Infeasible,512,11,0,703,1819,47,0,26,15,412,0,192,,,,,,,,
9,[0;5;7;9;7;4;5;2;0],9,612,486,2566,126,92,-12.0,-6.152573,100,-5.0,,,4,3107,0.71,Optimal,134,1,8,558,1679,47,0,9,48,313,32,47,6,8,5,8,4,7,16,2
10,[0;2;4;5;9;7;5;4;2;0],10,693,543,2915,182,146,-15.0,-9.1358034,100,-4.0,,,28,5460,0.89,Optimal,676,6,207,954,1213,53,0,4,27,211,0,277,6,9,5,9,5,8,19,2
11,[0;2;4;5;7;4;5;9;7;5;4;2;0],13,939,714,3968,279,211,-20.0,-12.647873,100,-9.0,,,27,9848,1.84,Optimal,658,8,345,1044,2720,107,0,17,34,615,25,311,10,12,6,12,5,11,14,6
12,,,857,657,3617,244,181,-18.0,-9.955572,100,,,,80,10279,1.54,Infeasible,1198,15,0,1790,2466,84,0,14,22,553,0,343,,,,,,,,
13,[0;2;5;7;9;5;7;4;2;0],10,693,543,2915,171,139,-14.0,-8.374076,100,-7.0,,,6,4088,0.94,Optimal,218,2,24,510,1258,66,0,14,46,336,85,18,8,9,6,9,5,8,14,5
14,[0;2;4;5;7;5;4;-1;0],9,612,486,2566,184,145,-13.0,-8.7197969,35,-4.0,,,40,3728,0.6,Optimal,736,11,125,771,671,59,0,13,4,519,1,270,6,8,4,8,4,7,16,4
15,[0;4;5;7;9;7;5;-1;0],9,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
16,[0;2;5;7;4;5;-1;0],8,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
17,[0;2;4;5;7;5;4;0],8,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
18,[0;4;7;5;4;0],6,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
19,[0;2;4;7;5;4;0],7,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
20,[0;2;4;5;9;7;5;4;0],9,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
21,[0;5;7;9;7;5;4;0],8,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
22,[0;2;5;7;5;4;0],7,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
23,[0;4;5;7;9;5;4;0],8,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
24,[0;2;4;7;9;7;4;0],8,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
25,[0;5;4;7;5;4;0],7,,,,,,,,,,,,,,,ValidatorSkip,,,,,,,,,,,,,,,,,,,,
