run_id,cf,cf_length,problem_rows,problem_cols,problem_elements,presolve_rows,presolve_cols,lp_relaxation,root_after_cuts,root_passes,best_objective,lower_bound,gap,nodes,iterations,wallclock_sec,status,strong_branching_count,max_depth,vars_fixed_reduced_cost,probing_cuts,gomory_cuts,knapsack_cuts,clique_cuts,mir_cuts,flowcover_cuts,twomir_cuts,zerohalf_cuts,implication_cuts,dissonant_upbeats,total_upbeats,conjunct_motions,total_motions,contrary_motions,total_moving,turns,total_turn_positions,climax_pitch,climax_subbeat
1,[0;-5;-7;-8;-7;-10;-5;-8;-10;-12],10,1546,1399,6903,608,434,-24.8286,-23.0,100,-19,-23.0,0.0,9709,422619,42.94,Optimal,21076,45,107947,38900,6792,3175,0,2906,6,1872,4361,532,2,9,14,18,9,9,4,17,16,6
2,[0;2;4;2;5;7;5;4;2;0],10,1544,1399,6899,561,422,-24.7333,-20.235419,100,-18,-20.2354,0.0,9264,782384,127.19,Optimal,8594,41,117468,171773,26776,16341,4,20208,57,4572,16324,2234,3,9,15,18,8,9,5,17,17,6
3,[0;4;5;7;4;5;2;0],8,1194,1099,5325,368,279,-18.7333,-15.023194,100,-11,-15.0232,0.0,1909,123466,10.85,Optimal,15286,27,16040,9533,3198,948,0,1168,22,728,0,887,0,7,10,14,4,7,3,13,17,5
4,[0;2;0;4;5;4;2;0],8,1194,1099,5325,403,322,-18.9,-16.0,56,-13,-16.0,0.0,921,2970619,55.2,Optimal,7356,35,7861,3715,1125,311,3,213,11,516,25,525,2,7,11,14,7,7,5,13,19,10
5,[0;7;9;7;5;4;2;0],8,1195,1099,5327,362,283,-19.8,-15.709254,100,-11,-15.7093,0.0,1006,59979,10.05,Optimal,10306,20,9401,5569,2810,643,0,557,36,872,1044,650,2,7,11,14,6,7,6,13,19,6
6,[0;2;5;4;7;5;4;2;0],9,1369,1249,6112,463,363,-22.0,-18.0,100,-14,-18.0,0.0,8679,325765,22.48,Optimal,13348,35,66276,24762,7581,3431,1,3481,10,2329,49,830,3,8,13,16,5,8,4,15,19,6
7,[0;4;2;5;7;9;7;5;2;0],10,1549,1399,6899,505,381,-24.6,-20.001479,47,-13,-20.0015,0.0,34367,983442,66.17,Optimal,33192,42,206944,89432,35643,13436,0,11562,9,4107,1,1229,1,9,12,18,8,9,7,17,19,9
8,[0;2;4;7;9;7;5;4;2;0],10,1549,1399,6899,532,410,-25.4,-20.000038,100,-16,-20.0,0.0,4395,457461,69.94,Optimal,6852,28,62988,97589,15193,9497,2,10475,40,3391,9133,3068,3,9,14,18,9,9,7,17,21,3
9,[0;5;7;9;7;4;5;2;0],9,1370,1249,6114,429,322,-21.6,-17.000006,100,-14,-17.0,0.0,2451,99929,8.53,Optimal,6016,25,16189,11277,4099,911,1,1020,25,646,1,1376,2,8,13,16,6,8,5,15,21,3
10,[0;2;4;5;9;7;5;4;2;0],10,1544,1399,6899,542,416,-25.4,-21.361082,92,-15,-21.3611,0.0,39502,1313609,90.25,Optimal,41666,44,440298,151526,30537,16433,0,14314,15,4261,1,192,3,9,14,18,8,9,7,17,19,10
11,[0;2;4;5;7;4;5;9;7;5;4;2;0],13,2069,1849,9260,787,587,-33.2833,-28.60363,10,-20,-23.652398,0.15,146342,6034354,599.85,TimeLimit,107702,80,1796863,623216,157872,76860,0,0,7,26624,80448,1027,2,12,19,24,10,12,9,23,19,16
12,[0;4;5;7;9;7;5;4;2;4;2;0],12,1894,1699,8473,706,526,-30.268,-26.725543,24,-18,-18.0,0.0,170542,9574875,565.74,Optimal,137254,45,1925833,601169,116474,68197,1,52411,30,24466,59042,1859,2,11,15,22,9,11,6,21,21,5
13,[0;2;5;7;9;5;7;4;2;0],10,1544,1399,6899,537,410,-24.4,-20.719315,100,-17,-17.0,0.0,2637,118863,14.87,Optimal,7706,30,29109,13379,2425,1034,14,34,28,1098,1500,1068,2,9,14,18,7,9,4,17,21,10
14,[0;2;4;5;7;5;4;-1;0],9,1370,1249,6114,553,429,-21.55,-19.612327,74,-15,-19.6123,0.0,17756,622385,59.5,Optimal,19240,45,136133,68464,13465,7111,0,7149,49,2153,7092,573,2,8,11,16,8,8,4,15,21,3
15,[0;4;5;7;9;7;5;-1;0],9,1370,1249,6114,535,417,-21.4,-19.432333,100,-12,-19.4323,0.0,36282,1328261,122.32,Optimal,33418,39,339563,149099,29209,13498,1,37,67,5119,14676,1474,2,8,10,16,7,8,7,15,19,1
16,[0;2;5;7;4;5;-1;0],8,1195,1099,5327,476,371,-18.6231,-16.415263,100,-13,-16.4153,0.0,1628,147401,24.02,Optimal,5226,26,20417,30550,6009,2788,0,47,28,1214,3076,694,2,7,10,14,6,7,3,13,19,1
17,[0;2;4;5;7;5;4;0],8,1194,1099,5325,490,371,-19.55,-17.016459,100,-13,-17.0165,0.0,507,56904,11.2,Optimal,2550,20,7763,12492,2049,900,1,1062,14,804,1105,790,2,7,12,14,6,7,5,13,16,5
18,[0;4;7;5;4;0],6,844,799,3751,320,253,-13.9,-11.226631,100,-7,-11.2266,0.0,267,29057,5.76,Optimal,3268,24,2419,4903,2004,545,0,751,32,349,743,331,1,5,7,10,2,5,2,9,21,6
